,# First name, Last name, Student number, Quizzes average, HW1 mark, HW2 mark, HW3 mark, Exam1 mark, Exam2 mark, Final exam mark
0,BARRY, LAMB,620565656,96.0,77.0,100.0,91.0,100.0,100.0,91
1,NARIMAN, PELUCHONDELAGARZA,107856531,94.0,76.0,87.0,90.0,90.0,67.0,88
2,VITALY, KHAN,7943944,92.0,79.0,85.0,92.0,76.0,60.0,87
3,NATALYA, SUTRADHAR,114037001,90.0,75.0,78.0,88.0,90.0,67.0,84
4,MAGARET, HIRJI,581943811,88.0,76.0,91.0,98.0,96.0,56.0,81
5,RAINA, SUTRADHAR,367541502,90.0,70.0,84.0,91.0,91.0,59.0,95
6,ERICKA, HOU,602646616,93.0,81.0,90.0,86.0,90.0,76.0,92
7,ABDOOL, VILLASPIN,282046779,87.0,75.0,90.0,90.0,85.0,70.0,89
8,FERN, HUANG,961460380,100.0,75.0,91.0,91.0,97.0,53.0,91
9,ADLEY, AMBAL,527925346,100.0,70.0,89.0,93.0,94.0,100.0,90
10,ALEXI, PRABAHARAN,207047975,94.0,72.0,80.0,83.0,78.0,65.0,86
11,RAJVEER, ALI,811536001,99.0,78.0,88.0,86.0,90.0,73.0,85
12,LOUANE, CHEN,58468428,100.0,70.0,80.0,90.0,95.0,64.0,91
13,MANEL, ZHAO,766165860,97.0,82.0,87.0,87.0,83.0,67.0,89
14,THEOREN, TO,110681912,98.0,76.0,77.0,90.0,94.0,64.0,85
15,JUERGEN, DEERING,918938462,89.0,72.0,100.0,78.0,82.0,73.0,87
16,CHARLAINE, GOPAULROLDAN,830427651,100.0,74.0,84.0,90.0,89.0,75.0,82
17,KAHINA, CIOBANU,581892726,100.0,76.0,96.0,89.0,82.0,62.0,77
18,MELANY, TIAN,767140015,100.0,78.0,89.0,93.0,91.0,68.0,85
19,MARYLINE, WANG,551003747,97.0,69.0,86.0,93.0,85.0,66.0,90
20,KWAI, JADHAV,870797899,90.0,74.0,83.0,84.0,85.0,73.0,92
21,GREGOR, GOPAULROLDAN,75524279,89.0,83.0,80.0,93.0,94.0,63.0,95
22,LIBAN, LU,398974220,97.0,72.0,80.0,90.0,80.0,66.0,85
23,KOHL, SU,882363866,94.0,82.0,98.0,91.0,91.0,74.0,90
24,MARITZA, YIN,128992445,93.0,100.0,100.0,100.0,90.0,64.0,97
25,MATHYS, PALMER,866095448,96.0,79.0,89.0,84.0,88.0,63.0,85
26,LUCIENNE, HANUSKA,678102757,90.0,77.0,86.0,90.0,92.0,68.0,85
27,HSIU, MCLAUGHLIN,421808257,85.0,82.0,77.0,94.0,81.0,74.0,89
28,JEDIDIAH, SMUK,558852883,89.0,83.0,86.0,81.0,80.0,73.0,89
29,JULIE-ANN, GUZINA,801575596,100.0,77.0,86.0,81.0,78.0,61.0,87
30,SARINA, QASSEM,551954946,96.0,75.0,86.0,93.0,89.0,71.0,86
31,HEAVEN, WRIGHT,377155697,100.0,80.0,89.0,100.0,90.0,59.0,85
32,VALENTYNA, ZEIDAN,589388512,92.0,87.0,100.0,98.0,100.0,71.0,76
33,ANGELITO, RAMANAN,232568285,92.0,78.0,79.0,99.0,81.0,71.0,89
34,BEHNAM, CHAN,272765764,90.0,66.0,81.0,89.0,82.0,72.0,91
35,NATIVIDAD, JANKOWIAK,447905433,91.0,82.0,81.0,91.0,92.0,69.0,82
36,CASPER, MAHJABIN,774807365,100.0,74.0,75.0,92.0,81.0,63.0,85
37,MARIELLE, CEZAR,95787375,94.0,78.0,88.0,88.0,82.0,66.0,85
38,JARNAIL, IVANOV,521872062,91.0,78.0,80.0,100.0,89.0,66.0,89
39,MARITA, HUANG,217623542,81.0,79.0,81.0,92.0,81.0,72.0,94
40,MARE, YANG,407007844,93.0,71.0,78.0,90.0,93.0,67.0,92
41,ANDREE, ROBERT,607759818,97.0,70.0,95.0,89.0,83.0,72.0,82
42,REHAN, LI,638177031,100.0,85.0,89.0,88.0,89.0,66.0,88
43,VLADIMIR, VOINA,427970774,100.0,77.0,92.0,94.0,90.0,68.0,92
44,NICOLE, MAAROUF,736787546,96.0,79.0,100.0,100.0,100.0,100.0,82
45,QAMAR, RECHICHI,820635703,99.0,72.0,80.0,90.0,81.0,68.0,88
46,BOSTON, SHARMA,293740070,100.0,79.0,83.0,85.0,83.0,73.0,84
47,SALAH, GEORGIEV,336244043,99.0,79.0,79.0,91.0,85.0,58.0,86
48,SERENITY, SEOH,367785946,94.0,80.0,76.0,89.0,91.0,57.0,77
49,AMRINDER, LIANGSUN,469856742,98.0,70.0,87.0,84.0,84.0,77.0,81
50,MIKHAEL, NISHIDERA,289113287,93.0,73.0,86.0,92.0,85.0,64.0,82
51,NAVREET, LARETEI,463580019,92.0,74.0,80.0,92.0,87.0,60.0,81
52,JUAN, CUI,261325694,93.0,70.0,82.0,91.0,81.0,68.0,85
53,MEERA, SASSO,702343693,100.0,100.0,100.0,100.0,100.0,76.0,85
54,BERTIN, LEONARD,73788758,94.0,70.0,86.0,85.0,100.0,65.0,80
